first_name,last_name,state,party,govtrack_id
Lisa,Murkowski,AK,Republican,300075
Dan,Sullivan,AK,Republican,412665
Jefferson,Sessions,AL,Republican,300088
Richard,Shelby,AL,Republican,300089
John,Boozman,AR,Republican,400040
Tom,Cotton,AR,Republican,412508
Jeff,Flake,AZ,Republican,400134
John,McCain,AZ,Republican,300071
Dianne,Feinstein,CA,Democrat,300043
Barbara,Boxer,CA,Democrat,300011
Michael,Bennet,CO,Democrat,412330
Cory,Gardner,CO,Republican,412406
Richard,Blumenthal,CT,Democrat,412490
Christopher,Murphy,CT,Democrat,412194
Thomas,Carper,DE,Democrat,300019
Chris,Coons,DE,Democrat,412390
Bill,Nelson,FL,Democrat,300078
Marco,Rubio,FL,Republican,412491
John,Isakson,GA,Republican,400194
David,Perdue,GA,Republican,412666
Mazie,Hirono,HI,Democrat,412200
Brian,Schatz,HI,Democrat,412507
Charles,Grassley,IA,Republican,300048
Joni,Ernst,IA,Republican,412667
James,Risch,ID,Republican,412322
Michael,Crapo,ID,Republican,300030
Richard,Durbin,IL,Democrat,300038
Mark,Kirk,IL,Republican,400222
Daniel,Coats,IN,Republican,402675
Joe,Donnelly,IN,Democrat,412205
Pat,Roberts,KS,Republican,300083
Jerry,Moran,KS,Republican,400284
Mitch,McConnell,KY,Republican,300072
Rand,Paul,KY,Republican,412492
Bill,Cassidy,LA,Republican,412269
David,Vitter,LA,Republican,400418
Edward,Markey,MA,Democrat,400253
Elizabeth,Warren,MA,Democrat,412542
Benjamin,Cardin,MD,Democrat,400064
Barbara,Mikulski,MD,Democrat,300073
Susan,Collins,ME,Republican,300025
Angus,King,ME,Independent,412545
Debbie,Stabenow,MI,Democrat,300093
Gary,Peters,MI,Democrat,412305
Amy,Klobuchar,MN,Democrat,412242
Alan,Franken,MN,Democrat,412378
Claire,McCaskill,MO,Democrat,412243
Roy,Blunt,MO,Republican,400034
Roger,Wicker,MS,Republican,400432
Thad,Cochran,MS,Republican,300023
Jon,Tester,MT,Democrat,412244
Steve,Daines,MT,Republican,412549
Richard,Burr,NC,Republican,400054
Thom,Tillis,NC,Republican,412668
John,Hoeven,ND,Republican,412494
Heidi,Heitkamp,ND,Democrat,412554
Deb,Fischer,NE,Republican,412556
Benjamin,Sasse,NE,Republican,412671
Jeanne,Shaheen,NH,Democrat,412323
Kelly,Ayotte,NH,Republican,412493
Robert,MenÌ©ndez,NJ,Democrat,400272
Cory,Booker,NJ,Democrat,412598
Tom,Udall,NM,Democrat,400413
Martin,Heinrich,NM,Democrat,412281
Harry,Reid,NV,Democrat,300082
Dean,Heller,NV,Republican,412218
Kirsten,Gillibrand,NY,Democrat,412223
Charles,Schumer,NY,Democrat,300087
Sherrod,Brown,OH,Democrat,400050
Robert,Portman,OH,Republican,400325
James,Inhofe,OK,Republican,300055
James,Lankford,OK,Republican,412464
Jeff,Merkley,OR,Democrat,412325
Ron,Wyden,OR,Democrat,300100
Robert,Casey,PA,Democrat,412246
Patrick,Toomey,PA,Republican,400408
Sheldon,Whitehouse,RI,Democrat,412247
John,Reed,RI,Democrat,300081
Lindsey,Graham,SC,Republican,300047
Tim,Scott,SC,Republican,412471
John,Thune,SD,Republican,400546
Mike,Rounds,SD,Republican,412669
Bob,Corker,TN,Republican,412248
Lamar,Alexander,TN,Republican,300002
John,Cornyn,TX,Republican,300027
Ted,Cruz,TX,Republican,412573
Orrin,Hatch,UT,Republican,300052
Mike,Lee,UT,Republican,412495
Mark,Warner,VA,Democrat,412321
Timothy,Kaine,VA,Democrat,412582
Bernard,Sanders,VT,Independent,400357
Patrick,Leahy,VT,Democrat,300065
Maria,Cantwell,WA,Democrat,300018
Patty,Murray,WA,Democrat,300076
Tammy,Baldwin,WI,Democrat,400013
Ron,Johnson,WI,Republican,412496
Joe,Manchin,WV,Democrat,412391
Shelley,Capito,WV,Republican,400061
John,Barrasso,WY,Republican,412251
Michael,Enzi,WY,Republican,300041