DonorOrganization	RecipientCandidateNameNormalized	RecipientCandidateParty	RecipientCandidateStatus	total
Capital International	Martin Heinrich	Democratic	Won	1000
Capital International	Michael Enzi	Republican	Won	2600
Capital International	Robert Men�ndez	Democratic	Won	2000
Capital International Inc.	Dean Heller	Republican	Won	2000
Capital International Investors	Rafael Edward Ted Cruz	\N	\N	2000
Capital International, Inc.	Bob Corker	Republican	Won	2500
Capital International, Inc.	Christopher A Coons	Democratic	Won	5200
Capitol International	Jeffrey Alan Merkley	Democratic	Won	2250
Capitol International	Joe Manchin Iii	Democratic	Won	2500
Carecore National	Lindsey Graham	Republican	Won	1500
Carecore National, Llc	Thomas Carper	Democratic	Won	500
Carlsbad National Bank	Tom Udall	Democratic	Won	450
Carnegie Endowment For International P	Elizabeth Warren	Democratic	Won	1000
Carolina International Trucks	Lindsey Graham	Republican	Won	1000
Cash America International	Benjamin E Sasse	\N	\N	1000
Cash America International	Bob Corker	Republican	Won	5000
Cash America International	Bob Corker	\N	\N	2000
Cash America International	Brian Emanuel Schatz	Democratic	Won	5000
Cash America International	Charles Schumer	Democratic	No Status	1000
Cash America International	Christopher A Coons	\N	\N	1000
Cash America International	Christopher Dodd	Democratic	No Status	4000
Cash America International	Daniel R Coats	\N	\N	1500
Cash America International	David Vitter	Republican	No Status	2000
Cash America International	David Vitter	\N	\N	6500
Cash America International	Dean Heller	Republican	Won	3500
Cash America International	Dean Heller	\N	\N	5000
Cash America International	Harry Reid	Democratic	No Status	8000
Cash America International	Harry Reid	\N	\N	5000
Cash America International	Jeanne Shaheen	Democratic	Won	2500
Cash America International	Jerry Moran	\N	\N	5000
Cash America International	Jim Demint	Republican	No Status	2000
Cash America International	Jim Demint	\N	\N	2000
Cash America International	Joe Donnelly	\N	\N	5000
Cash America International	Joe Manchin Iii	Democratic	Won	0
Cash America International	John Barrasso	Republican	Not Yet A Statutory Candidate	3000
Cash America International	John Cornyn	Republican	Won	6250
Cash America International	John Cornyn	\N	\N	2500
Cash America International	John Hoeven	\N	\N	1500
Cash America International	John Thune	Republican	No Status	2000
Cash America International	John Thune	\N	\N	1000
Cash America International	Jon Tester	Democratic	Won	2000
Cash America International	Jon Tester	\N	\N	2000
Cash America International	Kirsten Gillibrand	Democratic	No Status	7250
Cash America International	Kirsten Gillibrand	Democratic	Won	5000
Cash America International	Mark Eugene Amodei	\N	\N	1000
Cash America International	Mark Kirk	Republican	No Status	3000
Cash America International	Mark Kirk	\N	\N	0
Cash America International	Mark Pryor	\N	\N	1000
Cash America International	Mark Robert Warner	Democratic	Won	1500
Cash America International	Martin Heinrich	Democratic	Won	7350
Cash America International	Michael Crapo	Republican	No Status	2500
Cash America International	Michael Crapo	\N	\N	7500
Cash America International	Mitch Mcconnell	\N	\N	5000
Cash America International	Patrick Joseph Toomey	\N	\N	12500
Cash America International	Rafael Edward Ted Cruz	Republican	Won	250
Cash America International	Richard Shelby	Republican	No Status	2000
Cash America International	Richard Shelby	\N	\N	6000
Cash America International	Robert Men�ndez	Democratic	Won	14400
Cash America International	Robert Men�ndez	\N	\N	7500
Cash America International	Roger Williams	\N	\N	1500
Cash America International	Roy Blunt	\N	\N	2500
Cash America International	Shelley Capito	Republican	Won	1000
Cash America International	Sherrod Brown	Democratic	Won	5000
Cash America International	Steven Daines	\N	\N	1500
Cash America International Inc Pac	John Cornyn	\N	\N	2500
Castleton Commodities International	Richard Blumenthal	Democratic	No Status	500
Catalyst International	Russell Feingold	Democratic	No Status	1000
Cdm National Pac	Christopher Dodd	Democratic	No Status	-5000
Cds International	Brian Emanuel Schatz	Democratic	Won	1000
Cellulose Sciences International	Richard Durbin	Democratic	Won	250
Cellulose Sciences International	Tammy Baldwin	Democratic	Won	2000
Cellulose Sciences International	Tammy Baldwin	\N	\N	1500
Center Focus International	Paul Hodes	Democratic	No Status	250
Center For International Policy	Michael F Bennet	Democratic	No Status	500
Center For International Security	Kirsten Gillibrand	Democratic	Won	2500
Center for National Policy	Christopher Murphy	Democratic	Won	1000
Center for National Policy	Richard Blumenthal	Democratic	No Status	600
Central National Bank	Jerry Moran	Republican	No Status	2500
Central National Bank	Jerry Moran	Republican	Not Yet A Statutory Candidate	5586
Central National Bank	Jerry Moran	\N	\N	3000
Central National Bank	John Cornyn	Republican	Won	250
Central National Bank	Pat Roberts	Republican	Won	1750
Central National Bank-junction City	Pat Roberts	Republican	Won	1000
Central National Gottesman Foundation	Christopher Murphy	Democratic	Won	1750
Central National-Gottesman	Charles Schumer	Democratic	No Status	9600
Central National-Gottesman	Charles Schumer	\N	\N	1000
Central National-Gottesman	Elizabeth Warren	Democratic	Won	1250
Central National-Gottesman	Ron Wyden	Democratic	No Status	500
Central Transport International, Inc.	Harry Reid	Democratic	No Status	2400
Cevasco International, Inc.	Mark Robert Warner	Democratic	Won	1000
Cgl International, Inc.	Sherrod Brown	Democratic	Won	250
Che International Group	Ted Strickland	Democratic	No Status	250
Chemlube International	Elizabeth Warren	Democratic	Won	500
Chemlube International, Inc.	Elizabeth Warren	Democratic	Won	500
Chemlube International, Inc.	Jeanne Shaheen	Democratic	Won	500
Chemlube International, Inc.	Joe Sestak	Democratic	Not Yet A Statutory Candidate	250
Chempak International, Llc	Dan Sullivan	Republican	Won	5200
Chempak International, Llc	Rob Portman	\N	\N	250
Childfund International	Timothy Michael Kaine	Democratic	Won	400
Children's International, Llc	Debra S Fischer	Republican	Won	505
Children's International, Llc	Jeff Flake	Republican	Won	650
Children's International, Llc	Rafael Edward Ted Cruz	Republican	Won	1200
Children's National	Timothy Michael Kaine	Democratic	Won	250
Children's National Health System	Chris Van Hollen	Democratic	No Status	250
Children's National Medical Center	Sherrod Brown	Democratic	Won	500
Childrens National Medical Center	Cory A Booker	Democratic	Won	2000
Childrens National Medical Center	Jon Tester	Democratic	Won	250
Chiquita Brands International	John Mccain	Republican	No Status	4800
Chiquita Brands International	Orrin Hatch	\N	\N	4800
Chiquita Brands International	Rob Portman	Republican	No Status	18700
Chiquita Brands International	Rob Portman	\N	\N	500
Chiqulta Brands International	Rob Portman	Republican	No Status	500
Choi International	Brian Emanuel Schatz	Democratic	Won	8708
Choi International	Mazie Hirono	\N	\N	500
Choice Hotels International	Arlen Specter	Republican	No Status	1000
Choice Hotels International	Benjamin Cardin	\N	\N	7400
Choice Hotels International	Brian Emanuel Schatz	Democratic	No Status	2600
Choice Hotels International	Brian Emanuel Schatz	Democratic	Won	2600
Choice Hotels International	Charles Schumer	Democratic	No Status	1000
Choice Hotels International	Elizabeth Warren	Democratic	Won	1000
Choice Hotels International	Harry Reid	Democratic	No Status	4800
Choice Hotels International	Jon Tester	Democratic	Won	500
Choice Hotels International	Kirsten Gillibrand	Democratic	No Status	2400
Choice Hotels International	Marco Rubio	\N	\N	2000
Choice Hotels International	Michael Castle	Republican	No Status	1000
Choice Hotels International	Robert Men�ndez	Democratic	Won	5000
Choice Hotels International	Sherrod Brown	Democratic	Won	3000
Choice Hotels International	Tammy Baldwin	Democratic	Won	1000
Choice Hotels International Inc	Ron Wyden	Democratic	No Status	5400
Choice Hotels International, Inc.	Chris Van Hollen	Democratic	No Status	5400
Choice Hotels International, Inc.	Timothy Michael Kaine	Democratic	Won	2500
Choise Hotels International	John Boozman	Republican	No Status	1000
Cigars International	Patrick Joseph Toomey	Republican	No Status	6900
Cigars International	Patrick Joseph Toomey	\N	\N	2000
Cigars International	Robert Casey	Democratic	Won	5000
Cimmaron International Corp	Frank Pallone	\N	\N	500
Cimmaron International Corporation	Robert Men�ndez	Democratic	Won	5000
Citizens National	Jerry Moran	\N	\N	500
Citizens National Bank	Bob Corker	Republican	Won	4000
Citizens National Bank	Dan Sullivan	Republican	Won	500
Citizens National Bank	Jerry Moran	\N	\N	250
Citizens National Bank	John Cornyn	\N	\N	1500
Citizens National Bank	Mitch Mcconnell	Republican	Won	3000
Citizens National Bank	Mitch Mcconnell	\N	\N	500
Citizens National Bank	Pat Roberts	Republican	Won	500
Citizens National Bank	Rand Paul	Republican	No Status	500
Citizens National Bank	Roger Williams	\N	\N	2000
City National	Michael F Bennet	Democratic	No Status	2000
City National Bank	Barbara Boxer	Democratic	Won	400
City National Bank	Charles Schumer	Democratic	No Status	16600
City National Bank	Dianne Feinstein	Democratic	Won	4200
City National Bank	Elizabeth Warren	Democratic	Won	250
City National Bank	Harry Reid	Democratic	No Status	4800
City National Bank	Harry Reid	\N	\N	2600
City National Bank	James Inhofe	Republican	Won	500
City National Bank	James Inhofe	\N	\N	950
City National Bank	Jeffrey Alan Merkley	Democratic	Won	3600
City National Bank	Joe Manchin Iii	Democratic	No Status	500
City National Bank	Joe Manchin Iii	Democratic	Won	1000
City National Bank	Jon Tester	Democratic	Won	13000
City National Bank	Kendrick Meek	Democratic	No Status	4800
City National Bank	Kirsten Gillibrand	Democratic	Won	5000
City National Bank	Michael F Bennet	Democratic	No Status	13200
City National Bank	Shelley Capito	Republican	Won	3350
City National Bank	Tammy Baldwin	Democratic	Won	250
City National Bank Of Florida	Mitch Mcconnell	\N	\N	500
City National Corporation	Barbara Boxer	Democratic	Won	1500
City National Corporation	Jon Tester	Democratic	Won	5000
City National Corporation	Michael F Bennet	Democratic	No Status	1000
City National Corporation	Paul Hodes	Democratic	No Status	500
Civil Support International	Susan Collins	Republican	Won	1000
Clegg International	Bob Corker	Republican	Won	1000
Clen Aguas International School	Martin Heinrich	Democratic	Won	250
Clinicomp International	Marco Rubio	\N	\N	800
Cna National Warranty Corp.	Elizabeth Warren	Democratic	Won	250
Coats Aloe International, Inc.	Orrin Hatch	\N	\N	1000
Cobalt International Energy	John Cornyn	Republican	Won	1000
Cobalt International Energy	Mitch Mcconnell	Republican	Won	500
Cobalt International Energy	Orrin Hatch	\N	\N	1000
Cobalt International Energy	Rafael Edward Ted Cruz	Republican	Won	3750
Cobalt International Energy, Inc.	Benjamin E Sasse	Republican	Won	1000
Cobalt International Engery, Inc.	Rafael Edward Ted Cruz	Republican	Won	500
Cobalt Iternational Energy	Rafael Edward Ted Cruz	Republican	Won	1250
Cobat International Energy	Rafael Edward Ted Cruz	\N	\N	2600
Cokem International	Rand Paul	Republican	No Status	500
Coldwell Banker International	Sherrod Brown	Democratic	Won	1000
Colite International	Jim Demint	Republican	No Status	500
Colite International	Lindsey Graham	Republican	Won	2600
Collectral International	Al Franken	Democrat-Farm-Labor	Won	200
Collectral International	Elizabeth Warren	Democratic	Won	250
Collectral International	Elizabeth Warren	\N	\N	750
Collico International	Thomas Del Beccaro	Republican	No Status	250
Collier International	Bill Nelson	Democratic	Won	500
Colliers International	Bill Nelson	Democratic	Won	500
Colliers International	Bill White	\N	\N	4200
Colliers International	Brian Emanuel Schatz	Democratic	No Status	750
Colliers International	Brian Emanuel Schatz	Democratic	Won	500
Colliers International	Cory A Booker	Democratic	Won	250
Colliers International	Dean Heller	Republican	Won	2500
Colliers International	Gabriel Gomez	Republican	Not Yet A Statutory Candidate	4850
Colliers International	John Boozman	Republican	No Status	2600
Colliers International	John Mccain	Republican	No Status	250
Colliers International	Kendrick Meek	Democratic	No Status	1000
Colliers International	Marco Rubio	Republican	No Status	1000
Colliers International	Mark Kirk	Republican	No Status	2000
Colliers International	Mitch Mcconnell	\N	\N	1000
Colliers International	Norm Coleman	\N	\N	300
Colliers International	Patty Murray	Democratic	Won	250
Colliers International	Rafael Edward Ted Cruz	Republican	Won	2750
Colliers International	Richard Burr	Republican	No Status	1000
Colliers International	Sherrod Brown	Democratic	Won	4800
Colliers International	Stephen Lynch	\N	\N	250
Colliers International	Thom R Tillis	Republican	Won	2000
Colliers International	Timothy Michael Kaine	Democratic	Won	250
Colliers International - Baltimore	Thomas Carper	Democratic	Won	2000
Colorchem International Corp.	John Isakson	\N	\N	500
Columbia County Farmers National Bank	Robert Casey	Democratic	Won	500
Com Products International	Thomas Harkin	\N	\N	500
Combine International	Michael F Bennet	Democratic	No Status	4800
Comcon International	Barbara Boxer	\N	\N	2600
Comcon International	Marion Michael Rounds	Republican	Won	500
Commerce National Bank	Kelly A Ayotte	\N	\N	1250
Commercial National Bank	Blanche Lincoln	Democratic	No Status	1000
Communications International	Cory A Booker	Democratic	Won	2600
Community National Bank	Bob Corker	Republican	Won	1000
Community National Bank	John Cornyn	Republican	Won	500
Community National Bank	Pat Roberts	Republican	Won	250
Community Voice Mail National Office	Patty Murray	Democratic	Won	300
Compassion International	Owen Hill	Republican	Withdrew	2860
Compliance Management International	Patrick Joseph Toomey	\N	\N	500
Conational Inc.	Mitch Mcconnell	Republican	Won	1000
Concessions International	Kendrick Meek	Democratic	No Status	500
Condor International Advisors	Mitch Mcconnell	Republican	Won	5200
Conestoga International	David Perdue	Republican	Won	1000
Conservation International	Jon Tester	Democratic	Won	1500
Conservation International	Timothy Michael Kaine	Democratic	Won	450
Consolidated National Corp.	Mitch Mcconnell	\N	\N	1000
Consolidated National Insurance	Robert Casey	Democratic	Won	250
Construction Services International, I	Patrick Joseph Toomey	Republican	No Status	600
Continental National Bank	Kelly A Ayotte	\N	\N	250
Continental National Bank	Shelley Capito	Republican	Won	300
Contrack International	Mark Robert Warner	\N	\N	2000
Copeland Consulting International	Rafael Edward Ted Cruz	Republican	Won	250
Cornerstone National Bank	Mark Kirk	Republican	No Status	4800
Corporation For International Business	Mark Kirk	Republican	No Status	250
Corporation For National Research Init	Mark Robert Warner	Democratic	Won	2600
Cory International	Cory A Booker	Democratic	Won	500
Council For National Policy	Rafael Edward Ted Cruz	Republican	Won	2500
Cox International Associates	Timothy Michael Kaine	Democratic	Won	250
Cra International	Cory A Booker	Democratic	Won	1000
Cra International	Kirsten Gillibrand	Democratic	No Status	1000
Cra International	Kirsten Gillibrand	Democratic	Won	1000
Cra International	Loretta Sanchez	Democratic	No Status	1000
Cra International	Mark Kirk	Republican	No Status	4000
Cra International	Mark Kirk	\N	\N	3500
Cra International	Russell Feingold	Democratic	No Status	1000
Creative Associates International	Benjamin Cardin	Democratic	Won	2500
Creative Associates International	Mark Robert Warner	Democratic	Won	300
Creative Associates International	Timothy Michael Kaine	Democratic	Won	3200
Creative Associates International, Inc	Richard Blumenthal	Democratic	No Status	2000
Credit Union National Association	Al Franken	Democrat-Farm-Labor	Won	10000
Credit Union National Association	Amy Klobuchar	Democratic	Won	7500
Credit Union National Association	Angus Stanley King Jr	Independent	Won	10000
Credit Union National Association	Arlen Specter	Republican	No Status	3000
Credit Union National Association	Barbara Boxer	Democratic	Won	9000
Credit Union National Association	Barbara Boxer	\N	\N	1000
Credit Union National Association	Barbara Mikulski	Democratic	No Status	3500
Credit Union National Association	Benjamin Cardin	\N	\N	1500
Credit Union National Association	Benjamin E Sasse	Republican	Won	10000
Credit Union National Association	Benjamin E Sasse	\N	\N	1500
Credit Union National Association	Bernard Sanders	Independent	Won	10000
Credit Union National Association	Bill Nelson	Democratic	Won	5500
Credit Union National Association	Bill Nelson	\N	\N	5000
Credit Union National Association	Blanche Lincoln	Democratic	No Status	4500
Credit Union National Association	Bob Corker	Republican	Won	9000
Credit Union National Association	Bob Corker	\N	\N	1000
Credit Union National Association	Brad Ellsworth	Democratic	No Status	10000
Credit Union National Association	Brian Emanuel Schatz	Democratic	No Status	3500
Credit Union National Association	Brian Emanuel Schatz	Democratic	Won	2500
Credit Union National Association	Byron Dorgan	Democratic	No Status	15000
Credit Union National Association	Charles Grassley	Republican	No Status	12000
Credit Union National Association	Charles Grassley	\N	\N	6000
Credit Union National Association	Charles Melancon	Democratic	No Status	2500
Credit Union National Association	Charles Schumer	Democratic	No Status	20000
Credit Union National Association	Christopher A Coons	Democratic	No Status	5000
Credit Union National Association	Christopher A Coons	Democratic	Won	3000
Credit Union National Association	Christopher Dodd	Democratic	No Status	1000
Credit Union National Association	Christopher Murphy	Democratic	Won	2500
Credit Union National Association	Christopher Murphy	\N	\N	3000
Credit Union National Association	Claire Mccaskill	Democratic	Won	3750
Credit Union National Association	Claire Mccaskill	\N	\N	2000
Credit Union National Association	Cory A Booker	Democratic	Won	10000
Credit Union National Association	Cory A Booker	\N	\N	1500
Credit Union National Association	Dan Sullivan	Republican	Won	250
Credit Union National Association	David Perdue	\N	\N	1000
Credit Union National Association	David Vitter	Republican	No Status	5000
Credit Union National Association	Dean Heller	\N	\N	5500
Credit Union National Association	Debbie Ann Stabenow	Democratic	Won	10000
Credit Union National Association	Debbie Ann Stabenow	\N	\N	2000
Credit Union National Association	Debra S Fischer	Republican	Won	10000
Credit Union National Association	Debra S Fischer	\N	\N	6500
Credit Union National Association	Dianne Feinstein	Democratic	Won	9000
Credit Union National Association	Dianne Feinstein	\N	\N	3500
Credit Union National Association	Edward W Gillespie	\N	\N	1600
Credit Union National Association	Elizabeth Warren	Democratic	Won	6000
Credit Union National Association	Evan Bayh	Democratic	No Status	4000
Credit Union National Association	Frank Lautenberg	\N	\N	1000
Credit Union National Association	Gary Peters	Democratic	Won	10000
Credit Union National Association	Gary Peters	\N	\N	2500
Credit Union National Association	Harry Reid	Democratic	No Status	5250
Credit Union National Association	Harry Reid	\N	\N	6000
Credit Union National Association	Heidi Heitkamp	Democratic	Won	5000
Credit Union National Association	Heidi Heitkamp	\N	\N	6000
Credit Union National Association	Jeanne Shaheen	Democratic	Won	5000
Credit Union National Association	Jeanne Shaheen	\N	\N	5000
Credit Union National Association	Jefferson Sessions	Republican	Won	4500
Credit Union National Association	Jeffrey Alan Merkley	Democratic	Won	8000
Credit Union National Association	Jeffrey Alan Merkley	\N	\N	8000
Credit Union National Association	Jerry Moran	\N	\N	0
Credit Union National Association	Jim Bunning	Republican	No Status	1500
Credit Union National Association	Jim Demint	Republican	No Status	6000
Credit Union National Association	Jim Demint	\N	\N	2000
Credit Union National Association	Joe Donnelly	Democratic	Won	1000
Credit Union National Association	Joe Donnelly	\N	\N	1000
Credit Union National Association	Joe Manchin Iii	Democratic	No Status	10000
Credit Union National Association	Joe Manchin Iii	Democratic	Won	4000
Credit Union National Association	Joe Manchin Iii	\N	\N	3500
Credit Union National Association	Joe Sestak	Democratic	Not Yet A Statutory Candidate	5000
Credit Union National Association	John Boozman	Republican	No Status	1000
Credit Union National Association	John Boozman	\N	\N	2000
Credit Union National Association	John Cornyn	Republican	Won	5000
Credit Union National Association	John Cornyn	\N	\N	5000
Credit Union National Association	John Hoeven	Republican	No Status	13000
Credit Union National Association	John Hoeven	\N	\N	5500
Credit Union National Association	John Isakson	Republican	No Status	6500
Credit Union National Association	John Isakson	\N	\N	1000
Credit Union National Association	John Mccain	Republican	No Status	3000
Credit Union National Association	John Reed	Democratic	Won	10000
Credit Union National Association	John Reed	\N	\N	1000
Credit Union National Association	John Thune	Republican	No Status	14500
Credit Union National Association	Jon Tester	Democratic	Won	10500
Credit Union National Association	Jon Tester	\N	\N	5000
Credit Union National Association	Joni K Ernst	Republican	Won	10000
Credit Union National Association	Joni K Ernst	\N	\N	-5000
Credit Union National Association	Kelly A Ayotte	Republican	No Status	6000
Credit Union National Association	Kelly A Ayotte	\N	\N	4000
Credit Union National Association	Kendrick Meek	Democratic	No Status	5000
Credit Union National Association	Kirsten Gillibrand	Democratic	No Status	10000
Credit Union National Association	Kirsten Gillibrand	Democratic	Won	9000
Credit Union National Association	Lamar Alexander	Republican	Won	9000
Credit Union National Association	Lindsey Graham	Republican	Won	3500
Credit Union National Association	Lisa Murkowski	Republican	Not Yet A Statutory Candidate	2000
Credit Union National Association	Lisa Murkowski	Republican	Won	5000
Credit Union National Association	Lisa Murkowski	\N	\N	0
Credit Union National Association	Marco Rubio	Republican	No Status	5000
Credit Union National Association	Marco Rubio	\N	\N	1000
Credit Union National Association	Maria Cantwell	\N	\N	500
Credit Union National Association	Marion Michael Rounds	Republican	Won	10000
Credit Union National Association	Mark Begich	\N	\N	1000
Credit Union National Association	Mark Kirk	Republican	No Status	11000
Credit Union National Association	Mark Robert Warner	Democratic	Won	12250
Credit Union National Association	Mark Robert Warner	\N	\N	1000
Credit Union National Association	Mark Udall	\N	\N	8500
Credit Union National Association	Martin Heinrich	Democratic	Won	10000
Credit Union National Association	Martin Heinrich	\N	\N	2000
Credit Union National Association	Mary Landrieu	\N	\N	2000
Credit Union National Association	Max Baucus	Democratic	Resigned	1000
