DonorOrganization,RecipientCandidateNameNormalized,RecipientCandidateParty,DonorEntityType,total,,govtrack_id,
Berner International Corporation,Elizabeth Warren,Democratic,Individual,2000,,412542,
Best Western International Inc,Elizabeth Warren,Democratic,Individual,1000,,412542,
Brookham National Lab,Elizabeth Warren,Democratic,Individual,500,,412542,
Carnegie Endowment For International P,Elizabeth Warren,Democratic,Individual,1000,,412542,
Central National-Gottesman,Elizabeth Warren,Democratic,Individual,1250,,412542,
Chemlube International,Elizabeth Warren,Democratic,Individual,500,,412542,
Choice Hotels International,Elizabeth Warren,Democratic,Individual,1000,,412542,
City National Bank,Elizabeth Warren,Democratic,Individual,250,,412542,
Cna National Warranty Corp.,Elizabeth Warren,Democratic,Individual,250,,412542,
Collectral International,Elizabeth Warren,Democratic,Individual,1000,,412542,
Credit Union National Association,Elizabeth Warren,Democratic,,6000,,412542,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Evan Bayh,Democratic,,10000,,0,
Automotive Free International Trad,Evan Bayh,Democratic,Unknown,-5000,,0,
Baxter International,Evan Bayh,Democratic,,1000,,0,
Credit Union National Association,Evan Bayh,Democratic,,4000,,0,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Frank Lautenberg,\N,,2000,,0,
Credit Union National Association,Frank Lautenberg,\N,,1000,,0,
Cimmaron International Corp,Frank Pallone,\N,Individual,500,,0,
Advent International,Gabriel Gomez,Republican,Individual,37350,,0,
Colliers International,Gabriel Gomez,Republican,Individual,4850,,0,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Gary Peters,\N,,7500,,412305,
Baxter International,Gary Peters,Democratic,Individual,250,,412305,
Credit Union National Association,Gary Peters,\N,,12500,,412305,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Harry Reid,Democratic,,6000,,300082,
Amex International Inc.,Harry Reid,Democratic,Individual,1000,,300082,
Bc International Group,Harry Reid,Democratic,Individual,6800,,300082,
Berner International Corporation,Harry Reid,Democratic,Individual,750,,300082,
Bioarts International,Harry Reid,Democratic,Individual,2400,,300082,
Brinker International,Harry Reid,Democratic,,1000,,300082,
Building Owners and Managers Association International,Harry Reid,Democratic,,5000,,300082,
CONFERENCE OF NATIONAL PARK CONCESSIONERS POLITICAL ACTION COMMITTEE (CONPAC),Harry Reid,Democratic,,1200,,300082,
Cash America International,Harry Reid,Democratic,,13000,,300082,
Choice Hotels International,Harry Reid,Democratic,Individual,4800,,300082,
City National Bank,Harry Reid,Democratic,Individual,7400,,300082,
Credit Union National Association,Harry Reid,Democratic,Individual,11250,,300082,
Cruise Lines International Association,Harry Reid,Democratic,,9000,,300082,
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,Harry Reid,Democratic,,1205,,300082,
DORSEY NATIONAL FUND,Harry Reid,Democratic,,3400,,300082,
Danya International,Harry Reid,Democratic,Individual,1000,,300082,
Army National Guard,Heidi Heitkamp,Democratic,Individual,500,,412554,
Credit Union National Association,Heidi Heitkamp,Democratic,,11000,,412554,
DORSEY NATIONAL FUND,Heidi Heitkamp,Democratic,,1500,,412554,
Ani International,inc,Mark Kirk,Republican,Individual,250,0,
1st National Bank & Trust Co,James Inhofe,Republican,Individual,1000,,300055,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,James Inhofe,Republican,,10000,,300055,7500
Bluewater International,James Inhofe,Republican,Individual,2000,,300055,2500
City National Bank,James Inhofe,\N,Individual,1450,,300055,5000
Army National Guard,Jason Kander,Democratic,Individual,1200,,0,2500
Albany International,Jeanne Shaheen,Democratic,Individual,5200,,412323,3000
Barrett Sothebys International,Jeanne Shaheen,Democratic,Individual,1000,,412323,1500
Berner International Corp.,Jeanne Shaheen,Democratic,Individual,500,,412323,1500
Brookhaven National Lab,Jeanne Shaheen,Democratic,Individual,500,,412323,2500
Building Owners and Managers Association International,Jeanne Shaheen,\N,,5000,,412323,2000
Cash America International,Jeanne Shaheen,Democratic,,2500,,412323,5000
Credit Union National Association,Jeanne Shaheen,\N,,10000,,412323,7500
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Jeff Flake,Republican,,10000,,400134,5000
Associates International Inc.,Jeff Flake,Republican,Individual,2000,,400134,1500
DEDICATED TO ESTABLISHING NATIONAL TEAMWORK PAC (DENT PAC),Jeff Flake,Republican,,500,,400134,2500
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Jefferson Sessions,Republican,,5000,,300088,7500
Credit Union National Association,Jefferson Sessions,Republican,,4500,,300088,2500
Afex International,Jeffrey Alan Merkley,Democratic,Individual,500,,412325,3000
American Pacific International Capital,Jeffrey Alan Merkley,\N,Individual,2500,,412325,1500
Capital International,Jeffrey Alan Merkley,Democratic,Individual,2250,,412325,4000
Capitol International,Jeffrey Alan Merkley,Democratic,Individual,2250,,412325,2500
City National Bank,Jeffrey Alan Merkley,Democratic,Individual,3600,,412325,1500
Credit Union National Association,Jeffrey Alan Merkley,\N,,16000,,412325,3000
1st National Bank,Jerry Moran,Republican,Individual,7000,,400284,3000
ACA International,Jerry Moran,Republican,,1000,,400284,5000
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Jerry Moran,Republican,,1500,,400284,5000
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Jerry Moran,Republican,,7500,,400284,5000
Blue Beacon International,Jerry Moran,Republican,Individual,2250,,400284,10000
Brinker International,Jerry Moran,Republican,,1000,,400284,
Cash America International,Jerry Moran,\N,,5000,,400284,
Central National Bank,Jerry Moran,Republican,Individual,11086,,400284,
Citizens National,Jerry Moran,\N,Individual,500,,400284,
Citizens National Bank,Jerry Moran,\N,Individual,250,,400284,
Credit Union National Association,Jerry Moran,\N,,0,,400284,
Building Owners and Managers Association International,Jim Bunning,Republican,,1000,,0,
Credit Union National Association,Jim Bunning,Republican,,1500,,0,
ACA International,Jim Demint,Republican,,5000,,0,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Jim Demint,Republican,,1000,,0,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Jim Demint,Republican,,5000,,0,
American International Group,Jim Demint,Republican,Individual,1000,,0,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Jim Demint,Republican,,1000,,0,
Cash America International,Jim Demint,Republican,,4000,,0,
Colite International,Jim Demint,Republican,Individual,500,,0,
Credit Union National Association,Jim Demint,Republican,,8000,,0,
Cruise Lines International Association,Jim Demint,Republican,,2000,,0,
Cruise Lines International Association,Jim Webb,\N,,2000,,0,
Arbonne International,Joe Donnelly,Democratic,Individual,2500,,412205,
Cash America International,Joe Donnelly,\N,,5000,,412205,
Credit Union National Association,Joe Donnelly,Democratic,,2000,,412205,
Aviation International News,Joe Manchin Iii,Democratic,Individual,1000,,412391,
Blackheart International,Joe Manchin Iii,Democratic,Individual,1250,,412391,
Brinker International,Joe Manchin Iii,\N,,2500,,412391,
Camris International,Joe Manchin Iii,Democratic,Individual,1000,,412391,
Capitol International,Joe Manchin Iii,Democratic,Individual,2500,,412391,
Cash America International,Joe Manchin Iii,Democratic,,0,,412391,
City National Bank,Joe Manchin Iii,Democratic,Individual,1500,,412391,
Credit Union National Association,Joe Manchin Iii,Democratic,,17500,,412391,
Ahs International,Joe Sestak,Democratic,Individual,2200,,0,
American International Group,Joe Sestak,Democratic,Individual,700,,0,
Av International,Joe Sestak,Democratic,Individual,1000,,0,
Berner International,Joe Sestak,Democratic,Individual,2400,,0,
Berner International Corp,Joe Sestak,Democratic,Individual,4500,,0,
Cameron International,Joe Sestak,\N,Individual,5200,,0,
Credit Union National Association,Joe Sestak,Democratic,,5000,,0,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,John Barrasso,Republican,,5000,,412251,
Baxter International,John Barrasso,\N,,2000,,412251,
Building Owners and Managers Association International,John Barrasso,Republican,,2500,,412251,
Cammeby's International,John Barrasso,Republican,Individual,1000,,412251,
Capital International,John Barrasso,Republican,Individual,3000,,412251,
Cash America International,John Barrasso,Republican,,3000,,412251,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,John Boozman,Republican,,5000,,400040,
Baxter International,John Boozman,\N,,1500,,400040,
CRST International,John Boozman,\N,Individual,250,,400040,
Choise Hotels International,John Boozman,Republican,Individual,1000,,400040,
Colliers International,John Boozman,Republican,Individual,2600,,400040,
Credit Union National Association,John Boozman,Republican,,3000,,400040,
ACA International,John Cornyn,\N,,2500,,300027,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,John Cornyn,Republican,,10000,,300027,
Alok International Inc,John Cornyn,Republican,Individual,5100,,300027,
Amarillo National Bank,John Cornyn,\N,Individual,6450,,300027,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),John Cornyn,\N,,1000,,300027,
Baxter International,John Cornyn,Republican,,5000,,300027,
Brenahm National Bank,John Cornyn,Republican,Individual,500,,300027,
Brenham National,John Cornyn,Republican,Individual,500,,300027,
Brenham National Bank,John Cornyn,Republican,Individual,1500,,300027,
Brinker International,John Cornyn,Republican,,10000,,300027,
Building Owners and Managers Association International,John Cornyn,\N,,3500,,300027,
Cash America International,John Cornyn,\N,,8750,,300027,
Cash America International Inc Pac,John Cornyn,\N,Unknown,2500,,300027,
Central National Bank,John Cornyn,Republican,Individual,250,,300027,
Citizens National Bank,John Cornyn,\N,Individual,1500,,300027,
Cobalt International Energy,John Cornyn,Republican,Individual,1000,,300027,
Community National Bank,John Cornyn,Republican,Individual,500,,300027,
Credit Union National Association,John Cornyn,\N,,10000,,300027,
Curves International,John Cornyn,Republican,Individual,10400,,300027,
Cruise Lines International Association,John Ensign,\N,,1000,,0,
1st National Bank,John Hoeven,Republican,Individual,2400,,412494,
ACA International,John Hoeven,Republican,,1000,,412494,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,John Hoeven,Republican,,10000,,412494,
Action Committee For Rural Electrification. (acre) National Rural Electric Cooperative,John Hoeven,\N,Unknown,1250,,412494,
Capital International,John Hoeven,Republican,Individual,1000,,412494,
Cash America International,John Hoeven,\N,,1500,,412494,
Credit Union National Association,John Hoeven,Republican,,18500,,412494,
DORSEY NATIONAL FUND,John Hoeven,Republican,,1000,,412494,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,John Isakson,Republican,,15000,,400194,
American International Gp,John Isakson,Republican,Individual,1000,,400194,
American International Group,John Isakson,Republican,Individual,500,,400194,
Building Owners and Managers Association International,John Isakson,Republican,,7500,,400194,
Colorchem International Corp.,John Isakson,\N,Individual,500,,400194,
Credit Union National Association,John Isakson,Republican,,7500,,400194,
Cruise Lines International Association,John Kerry,\N,,1000,,0,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,John Mccain,Republican,,10000,,300071,
Air Transport International,John Mccain,\N,Individual,500,,300071,
Armitage International,John Mccain,Republican,Individual,500,,300071,
Chiquita Brands International,John Mccain,Republican,Individual,4800,,300071,
Colliers International,John Mccain,Republican,Individual,250,,300071,
Credit Union National Association,John Mccain,Republican,,3000,,300071,
Anteon International Corp.,John Reed,\N,Individual,1000,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),John Reed,Democratic,,1000,,,
Baxter International,John Reed,Democratic,Individual,450,,,
Brinker International,John Reed,Democratic,,1000,,,
Building Owners and Managers Association International,John Reed,\N,,1000,,,
Credit Union National Association,John Reed,\N,,11000,,,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),John Rockefeller,\N,,2500,,,
Cruise Lines International Association,John Rockefeller,\N,,5000,,,
ACA International,John Thune,Republican,,11000,,,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),John Thune,Republican,,3500,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,John Thune,Republican,,10000,,,
Associates International Inc,John Thune,Republican,Individual,2650,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),John Thune,Republican,,1000,,,
Brinker International,John Thune,Republican,,2500,,,
Building Owners and Managers Association International,John Thune,\N,,2500,,,
Cash America International,John Thune,Republican,,3000,,,
Credit Union National Association,John Thune,Republican,,14500,,,
Cruise Lines International Association,John Thune,Republican,,6000,,,
Alliance For International Educational,Jon Tester,Democratic,Individual,250,,,
Brookside International Inc.,Jon Tester,Democratic,Individual,1000,,,
Capital International,Jon Tester,Democratic,Individual,1000,,,
Cash America International,Jon Tester,\N,,4000,,,
Childrens National Medical Center,Jon Tester,Democratic,Individual,250,,,
Choice Hotels International,Jon Tester,Democratic,Individual,500,,,
City National Bank,Jon Tester,Democratic,Individual,13000,,,
City National Corporation,Jon Tester,Democratic,Individual,5000,,,
Conservation International,Jon Tester,Democratic,Individual,1500,,,
Credit Union National Association,Jon Tester,Democratic,,15500,,,
DORSEY NATIONAL FUND,Jon Tester,Democratic,,11095,,,
ACA International,Joni K Ernst,Republican,,2500,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Joni K Ernst,Republican,,5000,,,
Brinker International,Joni K Ernst,Republican,,2000,,,
Credit Union National Association,Joni K Ernst,\N,,5000,,,
DORSEY NATIONAL FUND,Joni K Ernst,Republican,,500,,,
Cruise Lines International Association,Kay Hutchison,\N,,1000,,,
Baxter International,Kay R Hagan,\N,,5400,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Kelly A Ayotte,Republican,,10000,,,
American Defense International,Kelly A Ayotte,Republican,Individual,500,,,
American National Bank,Kelly A Ayotte,\N,Individual,250,,,
Commerce National Bank,Kelly A Ayotte,\N,Individual,1250,,,
Continental National Bank,Kelly A Ayotte,\N,Individual,250,,,
Credit Union National Association,Kelly A Ayotte,Republican,,10000,,,
Alkalife International,Kendrick Meek,Democratic,Individual,250,,,
Cao International,Kendrick Meek,Democratic,Individual,500,,,
City National Bank,Kendrick Meek,Democratic,Individual,4800,,,
Colliers International,Kendrick Meek,Democratic,Individual,1000,,,
Concessions International,Kendrick Meek,Democratic,Individual,500,,,
Credit Union National Association,Kendrick Meek,Democratic,,5000,,,
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,Kendrick Meek,Democratic,,20,,,
ACA International,Kenneth R Buck,Republican,,2500,,,
Alliant National Title Insurance Co.,Kenneth R Buck,Republican,Individual,250,,,
Crestcom International Ltd.,Kenneth R Buck,Republican,Individual,3600,,,
Baxter International,Kent Conrad,\N,,2000,,,
Active International,Kirsten Gillibrand,Democratic,Individual,1750,,,
American International Group,Kirsten Gillibrand,Democratic,Individual,2750,,,
American Jewish International Relation,Kirsten Gillibrand,Democratic,Individual,500,,,
Andrews International,Kirsten Gillibrand,Democratic,Individual,1000,,,
Association of National Advertisers,Kirsten Gillibrand,Democratic,Individual,1000,,,
Bc International Group,Kirsten Gillibrand,Democratic,Individual,1000,,,
Berner International Corp,Kirsten Gillibrand,Democratic,Individual,500,,,
Brookhaven National Laboratory,Kirsten Gillibrand,Democratic,Individual,500,,,
Cash America International,Kirsten Gillibrand,Democratic,,12250,,,
Center For International Security,Kirsten Gillibrand,Democratic,Individual,2500,,,
Choice Hotels International,Kirsten Gillibrand,Democratic,Individual,2400,,,
City National Bank,Kirsten Gillibrand,Democratic,Individual,5000,,,
Cra International,Kirsten Gillibrand,Democratic,Individual,2000,,,
Credit Union National Association,Kirsten Gillibrand,Democratic,,19000,,,
Argonne National Lab,L Tammy Duckworth,Democratic,Individual,250,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Lamar Alexander,Republican,,10000,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Lamar Alexander,Republican,,5500,,,
Baxter International,Lamar Alexander,Republican,,5000,,,
Brinker International,Lamar Alexander,Republican,,3000,,,
Credit Union National Association,Lamar Alexander,Republican,,9000,,,
A To Z Nutrition International,Lindsey Graham,\N,Individual,1000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Lindsey Graham,Republican,,10000,,,
American Defense International,Lindsey Graham,Republican,Individual,3500,,,
American International Group,Lindsey Graham,Republican,Individual,5200,,,
Ameron International Corp.,Lindsey Graham,Republican,Individual,500,,,
Capital International,Lindsey Graham,Republican,Individual,8700,,,
Carecore National,Lindsey Graham,Republican,Individual,1500,,,
Carolina International Trucks,Lindsey Graham,Republican,Individual,1000,,,
Colite International,Lindsey Graham,Republican,Individual,2600,,,
Credit Union National Association,Lindsey Graham,Republican,,3500,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Lisa Murkowski,Republican,,15000,,,
Alaska Army National Guard,Lisa Murkowski,Republican,Individual,200,,,
Alaska National Insurance,Lisa Murkowski,Republican,Individual,2400,,,
Alaska National Insurance Co.,Lisa Murkowski,Republican,Individual,2000,,,
All Axiom International Investors,Lisa Murkowski,Republican,Individual,5400,,,
Brinker International,Lisa Murkowski,Republican,,2500,,,
Building Owners and Managers Association International,Lisa Murkowski,Republican,,3500,,,
Credit Union National Association,Lisa Murkowski,Republican,,7000,,,
Cruise Lines International Association,Lisa Murkowski,Republican,,2000,,,
Archeon International Group,Loretta Sanchez,Democratic,Individual,1000,,,
Cra International,Loretta Sanchez,Democratic,Individual,1000,,,
Culac The Pac Of Credit Union National Association,Loretta Sanchez,Democratic,Unknown,5000,,,
Ac International Inc,Marco Rubio,Republican,Individual,240,,,
American Defense International,Marco Rubio,\N,Individual,2000,,,
Axiom International,Marco Rubio,Republican,Individual,2400,,,
Axiom International Investors,Marco Rubio,\N,Individual,400,,,
Baxter International,Marco Rubio,\N,,0,,,
Beacon National Insurance,Marco Rubio,Republican,Individual,1100,,,
Brinker International,Marco Rubio,\N,,1000,,,
CONSERVATIVE NATIONAL COMMITTEE (FKA-CONGRESSIONAL MAJORITY COMMITTEE),Marco Rubio,Republican,,250,,,
Choice Hotels International,Marco Rubio,\N,Individual,2000,,,
Clinicomp International,Marco Rubio,\N,Individual,800,,,
Colliers International,Marco Rubio,Republican,Individual,1000,,,
Credit Union National Association,Marco Rubio,Republican,,6000,,,
Cruise Lines International Association,Marco Rubio,\N,,4500,,,
Curves International,Marco Rubio,Republican,Individual,2400,,,
Airport Council International,Maria Cantwell,Democratic,Individual,500,,,
Altig International,Maria Cantwell,Democratic,Individual,5000,,,
Credit Union National Association,Maria Cantwell,\N,Individual,500,,,
Cruise Lines International Association,Maria Cantwell,Democratic,,500,,,
ACA International,Marion Michael Rounds,Republican,,2500,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Marion Michael Rounds,Republican,,10000,,,
Comcon International,Marion Michael Rounds,Republican,Individual,500,,,
Credit Union National Association,Marion Michael Rounds,Republican,,10000,,,
DORSEY NATIONAL FUND,Marion Michael Rounds,Republican,,500,,,
Credit Union National Association,Mark Begich,\N,,1000,,,
Cruise Lines International Association,Mark Begich,\N,,5500,,,
DORSEY NATIONAL FUND,Mark Begich,\N,,2500,,,
Cash America International,Mark Eugene Amodei,\N,,1000,,,
ACA International,Mark Kirk,Republican,,7000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Mark Kirk,Republican,,10000,,,
Argonne National Laboratory,Mark Kirk,Republican,Individual,200,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Mark Kirk,\N,,1500,,,
Baxter International,Mark Kirk,Republican,,42950,,,
Cash America International,Mark Kirk,Republican,,3000,,,
Colliers International,Mark Kirk,Republican,Individual,2000,,,
Cornerstone National Bank,Mark Kirk,Republican,Individual,4800,,,
Corporation For International Business,Mark Kirk,Republican,Individual,250,,,
Cra International,Mark Kirk,Republican,Individual,7500,,,
Credit Union National Association,Mark Kirk,Republican,,11000,,,
Baxter International,Mark Pryor,\N,,1000,,,
Cash America International,Mark Pryor,\N,,1000,,,
AMEGY BANK  NATIONAL  ASSOC. POLITICAL ACTION COMMITTEE,Mark Robert Warner,\N,,1500,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Mark Robert Warner,Democratic,,10000,,,
Advanced Solutions International,Mark Robert Warner,Democratic,Individual,250,,,
Advansoft International,Mark Robert Warner,Democratic,Individual,300,,,
Akoo International,Mark Robert Warner,\N,Individual,1000,,,
Alliant National,Mark Robert Warner,Democratic,Individual,250,,,
American National Bank,Mark Robert Warner,Democratic,Individual,500,,,
Association of National Advertisers,Mark Robert Warner,Democratic,Individual,250,,,
Av International,Mark Robert Warner,\N,Individual,2500,,,
Boma International,Mark Robert Warner,Democratic,Individual,375,,,
Building Owners and Managers Association International,Mark Robert Warner,Democratic,,1000,,,
Cash America International,Mark Robert Warner,Democratic,,1500,,,
Contrack International,Mark Robert Warner,\N,Individual,2000,,,
Corporation For National Research Init,Mark Robert Warner,Democratic,Individual,2600,,,
Creative Associates International,Mark Robert Warner,Democratic,Individual,300,,,
Credit Union National Association,Mark Robert Warner,\N,,13250,,,
Cruise Lines International Association,Mark Robert Warner,\N,,11500,,,
Alem International,Mark Udall,\N,Individual,1000,,,
American International Group,Mark Udall,\N,,-1000,,,
CONFERENCE OF NATIONAL PARK CONCESSIONERS POLITICAL ACTION COMMITTEE (CONPAC),Mark Udall,\N,,9000,,,
Credit Union National Association,Mark Udall,\N,,8500,,,
Capital International,Martin Heinrich,Democratic,Individual,1000,,,
Cash America International,Martin Heinrich,Democratic,,7350,,,
Clen Aguas International School,Martin Heinrich,Democratic,Individual,250,,,
Credit Union National Association,Martin Heinrich,Democratic,,12000,,,
Access National Bank,Mary Landrieu,\N,Individual,1000,,,
American Jewish International Relation,Mary Landrieu,\N,Individual,250,,,
Arkel International,Mary Landrieu,\N,Individual,2200,,,
Credit Union National Association,Mary Landrieu,\N,,2000,,,
Cruise Lines International Association,Mary Landrieu,\N,,3000,,,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Max Baucus,\N,,1000,,,
Baxter International,Max Baucus,\N,,2000,,,
Credit Union National Association,Max Baucus,\N,,4000,,,
American International Resources Inc.,Mazie Hirono,Democratic,Individual,1000,,,
American Jewish International Relation,Mazie Hirono,Democratic,Individual,250,,,
Atr International,Mazie Hirono,Democratic,Individual,250,,,
Choi International,Mazie Hirono,\N,Individual,500,,,
Credit Union National Association,Mazie Hirono,Democratic,,13500,,,
Cruise Lines International Association,Mazie Hirono,Democratic,,5000,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Michael Capuano,Democratic,,1000,,,
Credit Union National Association,Michael Capuano,Democratic,,5000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Michael Castle,Republican,,5000,,,
Brinker International,Michael Castle,Republican,,2500,,,
Choice Hotels International,Michael Castle,Republican,Individual,1000,,,
Credit Union National Association,Michael Castle,Republican,,16000,,,
ACA International,Michael Crapo,\N,,2000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Michael Crapo,Republican,,10000,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Michael Crapo,Republican,,7000,,,
Building Owners and Managers Association International,Michael Crapo,Republican,,1000,,,
Cash America International,Michael Crapo,Republican,,10000,,,
