name,state,term_year
Benjamin Sasse,NE,0.9
Mike Rounds,SD,0.9
Thom Tillis,NC,0.9
Joni Ernst,IA,0.9
David Perdue,GA,0.9
Dan Sullivan,AK,0.9
Cory Booker,NJ,0.9
Timothy Kaine,VA,2.9
Ted Cruz,TX,2.9
Deb Fischer,NE,2.9
Heidi Heitkamp,ND,2.9
Steve Daines,MT,0.9
Angus King,ME,2.9
Elizabeth Warren,MA,2.9
Tom Cotton,AR,0.9
Brian Schatz,HI,0.9
Dean Heller,NV,2.9
Ron Wyden,OR,4.9
David Vitter,LA,4.9
Patrick Toomey,PA,4.9
John Thune,SD,4.9
Richard Shelby,AL,4.9
Tim Scott,SC,0.9
Charles Schumer,NY,4.9
Marco Rubio,FL,4.9
Harry Reid,NV,4.9
Robert Portman,OH,4.9
Gary Peters,MI,0.9
Rand Paul,KY,4.9
Patty Murray,WA,4.9
Christopher Murphy,CT,2.9
Lisa Murkowski,AK,4.9
Jerry Moran,KS,4.9
Barbara Mikulski,MD,4.9
John McCain,AZ,4.9
Edward Markey,MA,0.9
Mike Lee,UT,4.9
Patrick Leahy,VT,4.9
James Lankford,OK,0.9
Mark Kirk,IL,4.9
Ron Johnson,WI,4.9
John Isakson,GA,4.9
John Hoeven,ND,4.9
Mazie Hirono,HI,2.9
Martin Heinrich,NM,2.9
Charles Grassley,IA,4.9
Cory Gardner,CO,0.9
Jeff Flake,AZ,2.9
Joe Donnelly,IN,2.9
Michael Crapo,ID,4.9
Daniel Coats,IN,4.9
Bill Cassidy,LA,0.9
Shelley Capito,WV,0.9
Richard Burr,NC,4.9
Barbara Boxer,CA,4.9
John Boozman,AR,4.9
Roy Blunt,MO,4.9
Richard Blumenthal,CT,4.9
Michael Bennet,CO,4.9
Tammy Baldwin,WI,2.9
Kelly Ayotte,NH,4.9
Joe Manchin,WV,2.9
Chris Coons,DE,0.9
Alan Franken,MN,0.9
Kirsten Gillibrand,NY,2.9
Mark Warner,VA,0.9
Tom Udall,NM,0.9
Jeanne Shaheen,NH,0.9
Jefferson Sessions,AL,0.9
Pat Roberts,KS,0.9
James Risch,ID,0.9
John Reed,RI,0.9
Jeff Merkley,OR,0.9
Mitch McConnell,KY,0.9
James Inhofe,OK,0.9
Lindsey Graham,SC,0.9
Michael Enzi,WY,0.9
Richard Durbin,IL,0.9
John Cornyn,TX,0.9
Susan Collins,ME,0.9
Thad Cochran,MS,0.9
Lamar Alexander,TN,0.9
Roger Wicker,MS,2.9
John Barrasso,WY,2.9
Sheldon Whitehouse,RI,2.9
Jon Tester,MT,2.9
Debbie Stabenow,MI,2.9
Bernard Sanders,VT,2.9
Bill Nelson,FL,2.9
Robert MenÌ©ndez,NJ,2.9
Claire McCaskill,MO,2.9
Amy Klobuchar,MN,2.9
Orrin Hatch,UT,2.9
Dianne Feinstein,CA,2.9
Bob Corker,TN,2.9
Robert Casey,PA,2.9
Thomas Carper,DE,2.9
Benjamin Cardin,MD,2.9
Maria Cantwell,WA,2.9
Sherrod Brown,OH,2.9